label,type,P,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
1,S,1889.999999,4.600000003,4409.999995,12740,147.1000001,1157,0.73,3.600000002,4.199999996,7.899999995,0.13,56,25.8,364.9999996,146.5999999,738.0000003,160.0000001,1479.999999,291.9999997
1,S,883.0000009,8.299999993,1642.000001,11549.99999,82.20000009,279.6999998,0.561,6.840000004,3.710000003,3.990000003,0.237,21.09999999,9.049999996,125.8,52.4,275.4000001,58.6,529,108.7999999
1,S,675.0000003,9.900000009,2095.999998,9860.000001,226.9999999,328.0000002,0.27,11.49000001,2.000000002,4.920000003,0.800000001,36.40000003,14.12000001,182.1000001,71.40000004,342,67.70000005,579.0000004,116.3999999
1,S,500.2041643,5.136651918,932.9822492,12656.14381,41.74456521,247.0030421,0.240383984,2.317059477,1.288371375,1.941735041,0.131115106,11.36568509,4.835165668,71.23874353,30.18598459,161.8429441,37.5480765,368.5321179,72.76703897
1,S,1336.999999,12.89999999,2374.000002,12240.00001,48.84999999,275.4999999,0.216,3.150000002,1.64,3.990000003,0.538,28.90000002,12.75999999,198.8,81.09999996,421.2999999,95.79999998,884,173.9
1,S,969.9999994,7.899999995,2073,11210.00001,138.2,390,0.215,6.299999993,1.530000001,3.990000003,0.385,27.6,12.27000001,174.3,69.00000004,349.7999999,78.19999999,696.9999998,137.8999999
1,S,1093,6.800000005,1800,11610.00001,24.10000002,169.0000002,0.21,1.319999999,1.26,2.969999998,0.066,22.39999998,10.30999999,142.9999998,59.4,297.9999999,62.99999993,564,114.8
1,S,1194.999999,7.199999993,1701.000002,10590,45.00000002,258,0.206,2.59,1.280000001,3.209999997,0.123,24.80000001,9.860000001,140.0999999,56,278.2999998,58.69999997,538.9999998,105.9
1,S,1456,3.100000001,3019,12370.00001,72.79999995,705,0.18,1.750000001,0.980000001,2.69,0.06,30.30000003,14.49999999,225.7,97.20000002,525.9999998,117.3,1093,216.5000002
1,S,282.0784393,1.576624809,1387.3683,14781.00208,327.7033801,904.3814628,0.174899381,6.830212334,1.197097545,2.416634421,0.127344493,17.06347325,7.130733587,112.1903237,44.85755931,217.5095716,49.48715898,566.5181536,83.81050297
1,S,1173,12,2658.999998,8990.000006,119.6000001,333.0000004,0.174,2.84,5.929999995,12,0.41,64.30000001,21.2,255.3000001,91.70000007,413.9999999,80.49999993,678.9999996,130.7000001
1,S,278.1489866,3.366202855,1648.907381,12970.23802,279.7333627,1090.151862,0.172972842,14.56946472,0.967000285,2.465288183,0.369904466,20.61174301,8.878373557,134.3141695,53.19554198,265.3711796,60.04725378,554.3313849,102.394953
1,S,1878.669791,4.47867683,3524.919441,11612.14419,70.75978261,614.1812133,0.16979033,1.768604904,1.622587709,3.610513498,0.173455498,32.36310267,16.50435095,261.0729052,115.7323573,616.1210644,136.3870384,1267.145522,237.7239506
1,S,1438,9.800000007,3220.000002,10540,277,342.0999999,0.159,13.3,3.820000001,9.400000009,1.679999999,59.29999995,20.72,269.9000003,112.7,570.9999997,115.7999999,1053,215.9999999
1,S,1303.000001,6.299999993,2773.000003,10745,157.3000001,541.9,0.156,7.979999994,1.8,4.859999997,0.521999999,37.07,15.43,240.1,95.70999995,489.5999998,109.41,990.0000009,179.7
1,S,1617,10.30000001,2799.999998,9260.000007,107.1999999,522,0.151,1.989999998,3.680000003,11.59999999,0.5,73.19999999,24.39999998,285.9999999,91.99999993,387,71.59999995,573.9999995,107.3999999
1,S,787.5200253,6.461128196,1440.147388,12242.72716,47.69201139,454.9403904,0.13811133,2.329399393,1.64502629,2.519989777,0.279634284,17.16151673,7.480597435,111.0186454,46.92326463,245.8801934,57.53190942,533.1669568,105.3625245
1,S,1251.000001,10.20000001,2717.999998,11971.00001,173.9999999,397.0000002,0.138,3.35,4.139999999,8.520000005,0.382,56.09999997,19.26000001,261.7000002,96.59999991,450.8999997,91.79999996,793.9999992,141.5
1,S,1214.004401,6.111644804,2093.031314,11261.71652,62.1260267,474.3767911,0.127552666,1.206770964,0.766048746,3.120308628,0.093400081,24.93649676,11.40470035,169.3961974,68.37546093,359.101026,79.23508935,737.5181711,144.3041301
1,S,649.0000003,3.999999997,3239.999998,10599.99999,348,549.7,0.12,12.04,4.9,9.699999994,1.48,66.09999993,23,293.9999997,110.9,525.9999998,102.9000001,880.9999992,170.6000001
1,S,1030.999999,7.100000005,2050,14260.00002,59.10000002,520.0000004,0.118,2.6,1.120000001,2.59,0.4,21.00000001,10.28000001,151.5000001,65.00000005,350.9999996,80.19999995,752.9999997,157.5
1,S,244.9999998,4.999999996,1979.999999,9530.000008,394.1000001,441.4000002,0.117,21.90000001,5.190000002,9.760000007,0.217,57.39999995,17.69999999,201.3000001,69.09999994,292.9999998,54.89999994,449,84.69999994
1,S,636.522317,9.358175014,1265.963178,11335.14623,133.6170755,239.8834444,0.115708702,12.17972694,1.414973153,2.655831906,0.412009175,19.94008935,7.884596538,106.0767763,42.13095533,205.097367,42.3899775,378.3501147,71.43937181
1,S,977.6999996,6.090000005,2042.000001,11260.00001,97.55000006,373.0000002,0.106,5.309999999,1.26,3.610000001,0.52,25.64999997,11.24999999,170.1000002,69.39999993,357.8999997,80.80000004,734.9999999,138.9000001
