label,Category,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0,Continental arc,5.91,1202.01,10229.21,74.88,372.97,0.01,13.26,0.8,2.43,1.35,22.29,8.68,103.62,43.94,203.17,45.96,426.18,88.49
0,Continental arc,5.96,1077.4,10942.47,52.83,191.39,0.01,15.11,0.53,2.07,0.88,23.78,8.38,86.37,41.71,181.5,37.49,309.89,59.16
0,Continental arc,6.13,693.72,11341.97,158.36,769.06,0.01,7.99,0.51,1.94,0.74,19.77,6.57,73.86,26.48,110.24,23.3,193.22,36.15
0,Continental arc,6.36,1107,11627.85,173.55,417.16,0.01,22.11,0.65,2.66,1.25,28.42,10.42,113.99,43.3,182.16,37.35,302.64,56.99
0,Continental arc,6.7,1212.23,11299.3,86.38,302.13,0.01,17.56,0.55,2.08,0.97,25.91,9.99,112.94,46.16,210.41,44.12,375.89,72.15
0,Continental arc,6.87,647.08,10310.93,71.8,177.9,0.01,10.79,0.43,1.69,0.98,18.5,5.36,57.25,23.52,97.73,20.02,169.97,32.2
0,Continental arc,6.96,751.88,10772.21,106.24,326.53,0.01,14.07,0.59,1.33,0.33,13.08,5.16,56.64,27.65,139.09,32.43,306.66,59.16
0,Continental arc,6.98,1032.72,10409.07,55.98,204.07,0.01,14.44,0.3,1.88,1.02,23.59,8.43,100.33,41.14,183.79,38.67,318.26,61.05
0,Continental arc,7.25,969.35,11042.43,52.46,197.76,0.01,11.72,0.39,1.78,0.69,19.98,8.03,92.56,38.73,178.19,36.49,328.7,59.68
0,Continental arc,7.48,898.66,9857.34,45.48,163.62,0.01,6.21,0.77,2.16,0.92,19.96,7.62,89.58,34.76,164.56,38.67,324.61,62.64
0,Continental arc,7.53,655.71,10009.7,29.05,130.79,0.01,9.29,0.41,1,0.63,11.81,4.53,53.07,24.22,120.23,27.75,243.94,52.67
0,Continental arc,7.62,1307.53,11053.18,76.31,256.66,0.01,21.82,0.65,2.53,1.28,29.94,10.75,110.02,50.51,224.72,45.83,377.25,71.76
0,Continental arc,7.8,188.15,11403.87,12.32,36.5,0.01,6.09,0.15,0.42,0.27,3.33,1.39,15.99,6.65,34.56,8.33,80.99,17.86
0,Continental arc,7.85,180.06,10897.91,9.89,30.47,0.01,5.13,0.15,0.42,0.2,3.5,1.26,14.6,6.36,33.27,7.49,73.88,16.15
0,Continental arc,8.07,966.26,11061.91,184.41,503.26,0.01,14.25,0.7,2.19,0.54,22.15,7.97,89.29,38.07,188.04,41.85,368.44,70.34
0,Continental arc,8.13,188.36,10638.82,15,78.05,0.01,0.72,0.08,0.36,0.08,3.13,1.29,16.58,6.67,36.48,8.45,79.61,17.25
0,Continental arc,8.4,1017.41,10711.55,60.61,233.92,0.01,16.35,0.55,1.71,0.99,17.92,7.15,85.29,37.28,185.77,43.44,387.47,78.48
0,Continental arc,8.66,1029.55,10964.12,62.63,215.61,0.01,15.59,0.5,1.92,0.92,20.08,7.86,98.17,40.38,194.04,41.64,381.64,74.52
0,Continental arc,8.86,217.19,10369.2,10.37,30.11,0.01,6.36,0.19,0.55,0.29,4.47,1.66,19.29,7.8,36.45,9.25,80.65,17.2
0,Continental arc,8.95,334.92,10265.69,18.39,53.6,0.01,7.39,0.33,0.77,0.53,7.05,2.38,27.27,11.57,60.33,14.61,145.03,30.42
0,Continental arc,8.95,389.88,10737.36,23.85,49.47,0.01,8.67,0.44,1.48,0.78,10.28,3.06,34.23,13.09,61.28,14.16,122.33,25.31
0,Continental arc,9.13,455.94,6613.95,20.05,39.87,0.01,4.3,1.15,2.17,1.28,14.54,4.57,42.62,17.52,79.19,17.5,143.25,28.96
0,Continental arc,9.21,1264.19,10106.73,91.93,339.74,0.01,18.51,0.66,2.26,1.28,24.19,9.49,112.31,47.04,218.27,48.22,424.1,85.61
0,Continental arc,9.28,419.27,10269.73,25.86,52.05,0.01,7.98,0.62,1.49,0.86,11.48,3.59,41.37,15.57,73.7,16.15,146.53,29.7
0,Continental arc,9.47,3355.33,9318.74,298.7,698.33,0.01,40.88,2.88,9.98,5.82,99.18,33.41,341.38,121.46,484.47,95.03,755.17,136.46
0,Continental arc,9.67,474.62,10102.84,29.82,72.8,0.01,11.21,0.41,0.98,0.59,10.46,3.69,42.35,16.98,77.84,18.2,161.23,31.81
0,Continental arc,9.67,318.88,9573.12,34.77,88.43,0.01,8.09,0.3,0.73,0.4,6.18,1.94,21.83,10.45,54.32,13.74,139.5,29.09
0,Continental arc,9.77,490.94,9539.33,23.09,48.11,0.01,8.32,0.94,1.69,1.04,13.66,4.52,45.84,18.08,79.87,17.57,157.65,30.05
0,Continental arc,9.78,1757.6,10843.75,182.42,532.05,0.01,32.54,0.93,3.45,2.83,39.17,14.13,163.23,63.4,301.66,65.16,586.37,113.13
0,Continental arc,9.89,585.84,8130.01,5.45,24.97,0.01,4.7,0.61,1.82,1.42,16.9,5.61,54.41,22.28,96.79,20.33,165.26,31.98
0,Continental arc,9.91,1061.35,9636.17,55.34,201.84,0.01,12.95,0.42,1.46,0.8,15.49,6.23,81.19,40.05,189.96,44.32,395.17,80.89
0,Continental arc,9.97,951.34,9550.12,57.76,207.27,0.01,2,1.14,2.86,0.41,20.63,7.27,87.63,34.45,168.33,38.49,332.2,62.63
0,Continental arc,9.99,537.49,9462.96,25.78,85.23,0.01,6.69,0.26,0.87,0.47,9.39,3.71,47.62,20.61,105.4,24.07,218.35,43.81
0,Continental arc,10.16,531.84,9794.47,40.28,191.31,0.01,9.23,0.45,0.94,0.73,9.01,3.64,45.81,19.45,99.21,22.97,209.52,43.86
0,Continental arc,10.5,721.19,9588.06,31.87,102.02,0.01,11.85,0.41,1.39,0.61,13.05,4.45,56.64,27.45,123.41,28.32,257.14,50.11
0,Continental arc,10.54,1227.79,10728.74,97.45,497.46,0.01,17.91,0.58,1.92,1.17,23.57,9.31,113.4,44.97,214.25,50.55,440.25,90.26
0,Continental arc,10.58,300.65,9866.27,8.32,25.1,0.01,6.45,0.18,0.71,0.35,6.51,2.39,27.56,11.25,53.4,11.7,101.39,19.86
0,Continental arc,10.99,471.15,8856.21,15.03,29.34,0.01,7.41,0.49,1.44,0.81,11.16,3.65,36.88,18.43,74.16,14.49,118.79,23.37
0,Continental arc,11.01,573.49,9990.89,26.04,50.67,0.01,9.94,0.75,2.26,1.11,17.47,5.59,59.47,22.28,96.16,21.06,180.06,32.03
0,Continental arc,11.22,260.72,9104.2,18.35,43.89,0.01,3.88,0.24,0.65,0.5,6.55,2.08,21.85,9.9,47.25,10.78,93.33,19.18
0,Continental arc,11.32,441.66,8109.1,13.96,40.98,0.01,5.81,0.33,1.11,0.58,9.69,3.63,44.13,17.35,81.93,20.24,173.35,35.24
0,Continental arc,11.33,340.43,8978.54,23.96,70.97,0.01,8.44,0.41,0.8,0.58,6.96,2.49,26.77,11.35,58.41,15.04,145.93,31.21
0,Continental arc,11.47,615.26,8716.19,18.21,51.81,0.01,8.48,0.58,1.43,0.73,14.76,5.3,57.84,24.06,107.13,23.25,193.2,38.15
0,Continental arc,11.65,778.45,9135.7,46.65,83.3,0.01,11.17,2.08,3.47,1.77,25.55,7.77,76.36,29.04,135.57,29.77,251.57,48.28
0,Continental arc,12.07,695.48,9633.66,29.92,51.31,0.01,11.33,1.01,2.96,1.14,22.59,7.01,72.88,26.57,117.58,23.34,194.27,35.89
0,Continental arc,12.3,495.98,8970.43,28.55,76.2,0.01,9.25,0.38,1.34,0.58,9.88,3.69,32.14,17.55,89.4,21.69,200.12,43.07
0,Continental arc,12.5,920.78,9174.07,50.94,89.64,0.01,12.78,2.39,4.48,1.93,29.93,9.24,78,33.84,163.59,34.42,288.63,52.27
0,Continental arc,12.8,476.46,9127.21,14.79,34.64,0.01,7.94,0.32,1.11,0.56,10.5,3.77,45.2,18.65,80.95,17.53,145.16,27.54
0,Continental arc,12.85,856.32,9867.59,35.54,58.12,0.01,12.22,1.44,3.83,1.85,30.66,9.41,84.78,34.11,148.34,29.99,238.81,42.99
0,Continental arc,13.25,820.52,9119.81,40.86,72.7,0.01,14.7,1.46,3.47,1.58,26.58,8.41,71.29,34.13,142.43,30.34,240.15,43.32
0,Continental arc,13.43,533.65,9097.85,15.84,40.24,0.01,8.95,0.39,1.24,0.65,12.14,4.61,53.75,21.42,93.84,20.25,170.77,32.03
0,Continental arc,13.61,1103.65,9061.57,65.44,92.92,0.01,13.92,2.07,4.19,1.87,36.01,11.48,111.09,46.15,201.01,40.72,322,60.93
0,Continental arc,14.01,544.34,8592.37,15.5,39.52,0.01,8.57,0.46,1.31,0.78,12.86,5.05,54.65,20.97,97.37,20.83,174.43,33.3
0,Continental arc,14.15,1064.56,8655.92,40.91,158.35,0.01,7.84,0.33,1.29,1.23,17.83,7.38,84.38,41.04,207.27,46.73,426.37,83.43
0,Continental arc,14.46,675.01,9668.75,44.97,134.54,0.01,14.39,0.82,1.65,0.88,11.31,3.98,45.81,23.31,116.45,30.54,270.58,60.79
0,Continental arc,14.47,924.23,8839.62,36.7,53.12,0.01,12.39,1.96,4.36,2.1,36.56,10.48,106.32,35.48,150.35,31.43,244.86,43.39
0,Continental arc,14.57,612.69,8432.37,19.16,40.44,0.01,10.49,0.43,1.44,0.81,15.02,4.82,49.12,20.99,95.8,20.64,167.19,32.29
0,Continental arc,14.58,1047.45,8346.35,43.69,139.95,0.01,10.17,0.59,1.52,0.78,16.56,6.47,82.92,38.35,187.31,43.01,381.52,78.66
0,Continental arc,14.6,851.25,8655.27,35.96,77.1,0.01,12.03,1.19,2.48,1.26,21.43,6.74,72.94,29.43,143.83,31.02,271.13,51.45
0,Continental arc,14.87,567.28,8493.6,19.84,54.77,0.01,10.27,0.57,1.62,0.87,15.03,4.9,50.17,21.37,97.91,23.78,196.74,37.85
0,Continental arc,15.78,801.68,8861.32,30.67,107.83,0.01,14.13,0.8,1.68,0.85,15.44,5.53,68.73,29.76,155.05,34.32,319.85,64.26
0,Continental arc,16.25,754.26,8905.81,28.12,72.51,0.01,14.48,0.49,2.01,0.89,16.41,5.68,56.33,28.76,132.86,29.78,238.12,47.34
0,Continental arc,16.37,564.96,8621.94,19.37,50.24,0.01,10.33,0.38,1.39,0.74,12.47,4.52,50.42,21.75,102.07,22.39,192.79,37.26
0,Continental arc,17.14,703.03,8557.67,25.2,57.78,0.01,13.47,0.53,1.75,0.84,16,5.56,60.51,27.66,118.2,25.41,217.75,41.21
0,Continental arc,18.09,1036.65,10446.26,54.93,200.64,0.01,12.13,0.4,1.96,0.88,18.91,7.65,90.9,40.94,170.09,36.22,305.02,55.35
0,Continental arc,18.1,1616.17,9469.71,132.14,314.67,0.01,31.4,1.6,3.55,2.09,37.85,13.42,159.57,59.57,273.73,59.99,500.75,97.1
0,Continental arc,18.15,1149.51,8089.87,63.29,126.23,0.01,14.37,0.68,2.12,1.34,24,9.3,111.57,46.65,221.81,49.51,423.75,83.95
0,Continental arc,19.43,1091.55,7779.62,72.37,120.93,0.01,9.71,0.79,1.71,1.67,24.86,10.05,109.19,44.44,211.85,46.81,405.74,78.16
0,Continental arc,19.48,965.26,8317.07,35.33,87.8,0.01,16.05,0.78,2.08,1.01,19.04,6.88,83.53,37.57,173.39,37.44,326.29,62.37
0,Continental arc,22.84,2342.15,7322.93,29.65,92.99,0.01,16.76,2.1,7.17,6.05,66.46,22.72,216.83,89.95,375.2,72.73,576.97,102.47
0,Continental arc,23.38,1495.98,8877.45,71.75,163.42,0.01,26.2,1,2.86,1.41,27.35,10.71,129.62,57.47,281.28,60.37,495.8,90.81
0,Continental arc,23.93,478.87,10409.33,47.6,98.48,0.01,9.33,0.46,1.17,0.27,11.64,4.22,46.65,18.42,82.73,17.52,141.03,24.9
0,Continental arc,28.43,2588.73,7872.71,217.64,263.84,0.01,37.73,1.48,5.24,3.83,67.18,24.07,250.91,103.37,455.3,96.96,775.5,140.51
0,Continental arc,3.3,79,13364,42,166,0.01,9,0.1,0.13,0.103,1,0.4,5,3,14,4,49,14
0,Continental arc,3.6,129,12632,26,87,0.01,11,0.1,0.2,0.143,2,0.9,10,4,24,7,62,13
0,Continental arc,4.5,495,12033,117,274,0.01,27,0.3,0.91,0.478,9,2.9,37,17,93,23,238,55
0,Continental arc,4.8,800,11480,160,252,0.01,25,1.7,3.32,1.66,24,7.3,75,29,144,33,315,64
0,Continental arc,6.1,198,12704,42,127,0.01,19,0.2,0.42,0.217,4,1.2,16,7,36,10,104,22
0,Continental arc,6.3,999,11392,513,745,0.01,46,1,3.24,1.759,27,8.5,96,38,183,41,386,75
0,Continental arc,16.7,471,9796,51,76,0.01,24,0.8,1.98,0.675,13,3.8,45,17,83,19,174,34
0,Continental arc,3.6,895.7,11085,284,475,0.009,39.73,0.56,1.47,0.53,15.12,5.66,72.99,32.25,170.89,40.3,366.76,75.34
0,Continental arc,3.19,590.39,11536,100,221,0.009,21.13,0.23,0.81,0.34,8.37,3.4,46.01,22.54,120.22,29.03,286.61,61.2
0,Continental arc,4.6,315,10754,47,139,0.009,12,0.2,0.54,0.359,5,1.8,23,11,56,15,150,34
0,Continental arc,5.1,359,11253,67,239,0.009,11,0.2,0.55,0.377,6,2.2,29,13,74,19,196,45
0,Continental arc,5.6,149,11598,39,170,0.009,8,0.1,0.22,0.148,2,0.9,11,5,29,7,80,19
0,Continental arc,6.6,1557,11517,372,1342,0.009,57,0.7,2.08,1.366,24,9,116,55,272,66,631,142
0,Continental arc,8.2,188,11462,39,123,0.009,7,0.1,0.3,0.151,4,1.3,15,7,38,9,93,21
0,Continental arc,9.3,165,9994,35,89,0.009,7,0.1,0.36,0.23,3,1,13,6,31,7,81,18
0,Continental arc,9.6,330,10058,20,57,0.009,9,0.2,0.66,0.28,6,2.2,29,12,59,14,132,27
0,Continental arc,10.4,289,10124,44,116,0.009,10,0.2,0.68,0.33,5,1.9,23,10,51,13,131,28
0,Continental arc,11.1,310,10350,41,63,0.009,19,0.3,1.02,0.443,8,2.4,28,11,55,13,118,24
0,Continental arc,12.9,490,8928,48,148,0.009,11,0.4,0.99,0.61,8,2.8,35,17,91,23,229,53
0,Continental arc,13.1,597,10056,51,60,0.009,20,1.1,3.04,1.451,22,6.2,63,23,100,22,184,35
0,Continental arc,3.2,977.48,10629,193,409,0.008,40.42,0.36,1.07,0.47,13.7,5.64,90.39,36.66,195.6,48.46,478.12,96.08
0,Continental arc,3.01,718.6,10280,135,299,0.008,22.58,0.26,0.88,0.39,10.47,4.15,58.69,27.14,142.43,37.07,348.29,74.15
0,Continental arc,3.33,1163.15,9877,463,627,0.008,56.81,0.48,1.94,0.54,17.97,7.32,105.18,43.95,222.3,54.23,528.4,106.54
0,Continental arc,3.1,543,12098,165,382,0.008,22,0.5,1.49,0.763,12,4.2,51,22,112,28,268,58
0,Continental arc,14.6,521,9988,34,49,0.008,15,0.7,1.65,0.606,13,4.4,50,21,99,23,209,41
0,Continental arc,3.18,696.64,10919,117,234,0.008,23.41,0.28,0.92,0.34,10.98,4.37,55.45,24.24,125.17,31.82,304.82,60.87
0,Continental arc,2.89,1351.85,10859,306,418,0.008,42.58,0.89,3.1,1.01,28.28,10.17,104.69,50.67,249.98,56.94,523.27,101.52
0,Continental arc,1.7,200,14897,289,762,0.007,15,0.1,0.32,0.18,2,0.9,11,5,34,10,117,33
0,Continental arc,1.8,353,15774,218,884,0.007,12,0.1,0.42,0.277,5,1.8,25,11,68,19,199,47
0,Continental arc,2.4,384,13032,249,721,0.007,27,0.2,0.73,0.466,6,2.3,27,12,72,19,202,50
0,Continental arc,3,370,12449,180,469,0.007,25,0.3,0.74,0.51,6,2.2,26,12,66,18,189,44
0,Continental arc,3.2,355,13025,83,170,0.007,15,0.8,1.52,0.83,9,2.8,30,12,63,16,152,34
0,Continental arc,4.1,398,12468,238,527,0.007,32,0.4,1.16,0.673,9,2.8,33,13,68,17,174,39
0,Continental arc,5,1441,12476,597,1269,0.007,50,0.6,1.91,1.475,24,8.4,102,47,251,64,648,144
0,Continental arc,5.4,549,10725,90,260,0.007,12,0.5,1.22,0.72,10,3.4,43,18,97,25,252,57
0,Continental arc,6.3,1053,12315,296,529,0.007,53,0.6,1.92,1.18,20,6.9,77,33,162,37,342,76
0,Continental arc,7,628,9757,47,124,0.007,16,0.6,1.36,0.967,11,3.3,38,18,81,20,192,43
0,Continental arc,7,108,11766,23,71,0.007,10,0.1,0.22,0.17,2,0.7,9,4,20,5,54,13
0,Continental arc,9.3,209,9527,25,50,0.007,9,0.3,0.68,0.438,4,1.4,16,7,37,10,102,24
0,Continental arc,10.7,443,10176,52,112,0.007,17,0.4,1.18,0.45,9,3,36,16,83,21,197,44
0,Continental arc,13.2,302,10143,36,46,0.007,17,0.3,0.84,0.424,8,2.4,26,11,55,13,115,24
0,Continental arc,15.2,318,9446,34,38,0.007,18,0.5,1.14,0.529,9,2.8,30,12,57,13,117,24
0,Continental arc,2,308,14071,115,606,0.006,11,0.1,0.24,0.21,3,1.4,19,10,53,15,161,41
0,Continental arc,5.2,1013,11230,273,569,0.006,26,1.2,3.19,1.632,24,7.7,90,38,187,45,431,96
0,Continental arc,5.5,132,11903,31,73,0.006,12,0.1,0.39,0.237,3,1.1,12,5,27,7,75,17
0,Continental arc,5.5,351,12614,70,180,0.006,14,0.2,0.63,0.297,5,2,26,12,65,17,175,40
0,Continental arc,5.6,503,9851,61,188,0.006,9,0.4,1.17,0.792,10,3.5,41,18,90,23,222,51
0,Continental arc,5.6,1253,12360,267,978,0.006,46,0.4,1.33,0.969,17,6.9,89,43,227,56,574,125
0,Continental arc,6.2,452,11185,113,206,0.006,13,0.6,1.68,0.974,11,3.4,39,16,79,20,206,46
0,Continental arc,6.6,177,10961,34,97,0.006,10,0.1,0.43,0.206,3,1,14,6,33,8,82,18
0,Continental arc,7.3,905,10439,132,412,0.006,22,0.5,1.42,1.027,14,5.3,70,32,162,41,407,89
0,Continental arc,7.9,166,11145,47,148,0.006,7,0.1,0.34,0.228,3,0.9,13,6,30,8,85,19
0,Continental arc,9.3,216,10661,18,51,0.006,7,0.2,0.47,0.259,4,1.5,19,8,41,10,95,20
0,Continental arc,10.1,215,10692,29,55,0.006,13,0.2,0.6,0.279,4,1.5,19,8,39,9,92,19
0,Continental arc,10.8,507,9610,54,136,0.006,10,0.6,1.29,0.805,10,3.8,43,18,94,24,230,52
0,Continental arc,11.6,325,10302,29,46,0.006,17,0.4,1.05,0.562,8,2.7,30,12,57,14,119,23
0,Continental arc,11.8,303,10305,26,49,0.006,16,0.3,0.92,0.416,7,2.5,28,11,56,14,118,25
0,Continental arc,12.1,275,10076,20,37,0.006,15,0.3,0.75,0.452,6,2.1,25,10,48,11,104,21
0,Continental arc,20.6,1044,8818,99,242,0.006,19,0.9,2.04,1.185,15,6.1,76,36,197,51,488,105
0,Continental arc,3,684,13183,174,457,0.005,18,0.4,1.56,1.088,15,4.6,55,23,120,30,311,68
0,Continental arc,5.2,263,11753,48,162,0.005,10,0.1,0.42,0.322,4,1.4,18,9,47,13,135,33
0,Continental arc,5.9,780,10647,114,269,0.005,16,0.3,1.05,0.635,10,3.2,41,19,98,25,257,57
0,Continental arc,6.1,726,11141,617,883,0.005,46,0.6,1.46,1.021,15,5.4,63,27,124,29,284,61
0,Continental arc,7.2,182,11346,35,126,0.005,8,0.1,0.31,0.171,3,1.1,14,6,34,9,91,21
0,Continental arc,10,294,11123,44,80,0.005,19,0.3,0.96,0.442,7,2.3,25,11,51,12,111,23
0,Continental arc,4.05,716.24,9711,106,194,0.005,18.93,0.48,1.19,0.49,11.84,4.05,66.83,25.27,125.57,32.22,309.69,65.62
0,Continental arc,5.41,449.08,10698,67,137,0.004,18.54,0.14,0.81,0.27,7.4,2.92,41.55,16.25,87.39,21.6,199.8,42.14
0,Continental arc,3.07,681.87,11879,170,318,0.004,31.07,0.3,1.12,0.29,9.14,4.14,28.53,24.36,131.72,32.11,312.55,61.59
0,Continental arc,3.4,338,11572,61,213,0.004,12,0.2,0.55,0.385,5,1.8,25,11,61,16,167,38
0,Continental arc,3.8,540,10857,68,245,0.004,12,0.3,0.8,0.598,9,3.3,41,19,100,25,253,56
0,Continental arc,3.9,397,11619,48,207,0.004,12,0.2,0.54,0.413,6,2.1,28,13,70,19,195,45
0,Continental arc,5.5,2482,16049,2154,4229,0.004,91,1.3,5.47,2.001,58,22.1,239,90,440,97,917,178
0,Continental arc,6.1,239,10681,37,116,0.004,6,0.1,0.48,0.296,5,1.5,20,8,43,11,110,25
0,Continental arc,7,333,11170,51,92,0.004,20,0.3,0.93,0.451,7,2.5,28,12,59,14,129,27
0,Continental arc,7.2,816,10770,1322,1135,0.004,78,1.4,3.14,1.732,25,7.4,78,30,138,31,273,54
0,Continental arc,9.1,264,10766,48,112,0.004,10,0.3,0.6,0.335,5,1.9,23,9,48,11,110,24
0,Continental arc,10.1,295,10720,21,46,0.004,14,0.3,0.93,0.474,6,2.1,26,11,53,12,117,24
0,Continental arc,3.97,1258.27,10915,239,462,0.004,43.53,0.65,1.73,0.72,18.66,7.67,97.66,45.79,249.74,62.32,592.1,123.47
0,Continental arc,1.8,378,14150,485,1341,0.003,23,0.1,0.48,0.333,4,1.6,22,11,67,20,215,54
0,Continental arc,2,419,14403,220,948,0.003,16,0.1,0.4,0.307,4,1.7,25,12,79,22,247,60
0,Continental arc,2.3,392,14546,146,655,0.003,15,0.2,0.65,0.559,7,2.4,28,13,70,19,213,53
0,Continental arc,2.7,318,12523,267,510,0.003,27,0.3,0.82,0.457,7,2.1,24,11,57,14,148,36
0,Continental arc,3,303,13717,179,405,0.003,24,0.3,0.63,0.387,6,2.1,26,11,58,15,150,35
0,Continental arc,3.4,458,12934,97,425,0.003,18,0.2,0.64,0.429,6,2.6,31,15,82,22,239,55
0,Continental arc,3.5,351,11911,73,194,0.003,19,0.2,0.57,0.373,6,2.1,26,12,63,16,150,35
0,Continental arc,3.6,1659,16926,651,2764,0.003,37,0.2,0.81,0.498,13,6.2,88,48,294,83,897,211
0,Continental arc,5.2,971,11093,136,241,0.003,19,0.6,1.94,0.435,18,6.5,81,37,179,41,378,73
0,Continental arc,5.4,853,11626,111,291,0.003,17,1,2.12,1.273,17,5.5,59,27,119,29,282,62
0,Continental arc,6.2,259,12436,92,266,0.003,12,0.2,0.58,0.32,5,1.7,21,9,48,12,117,27
0,Continental arc,6.4,424,11539,275,354,0.003,32,0.5,1.45,0.722,11,3.7,38,16,76,18,158,33
0,Continental arc,6.4,540,10837,82,194,0.003,24,0.3,0.96,0.602,10,3.1,40,18,96,24,224,49
0,Continental arc,6.8,257,10728,64,149,0.003,14,0.2,0.66,0.339,5,1.7,19,9,45,11,115,25
0,Continental arc,6.9,181,12508,38,120,0.003,15,0.2,0.32,0.203,3,1,13,6,32,9,86,20
0,Continental arc,7.7,201,11331,39,90,0.003,13,0.2,0.67,0.308,4,1.4,16,7,35,10,95,22
0,Continental arc,8,221,10388,52,119,0.003,8,0.1,0.38,0.24,4,1.5,17,8,40,10,97,21
0,Continental arc,8.2,151,11095,33,109,0.003,7,0.2,0.37,0.181,3,1,12,6,29,7,77,18
0,Continental arc,8.9,417,10716,91,154,0.003,12,0.6,1.38,0.935,11,3.2,37,15,72,18,188,42
0,Continental arc,9.3,163,9738,27,73,0.003,6,0.1,0.35,0.231,3,1.1,14,6,28,7,72,17
0,Continental arc,9.9,238,10968,57,109,0.003,18,0.2,0.62,0.303,5,1.6,21,8,42,10,97,21
0,Continental arc,10.5,191,10819,20,47,0.003,16,0.2,0.56,0.226,4,1.5,17,7,35,8,77,16
0,Continental arc,11.2,329,8656,28,65,0.003,7,0.4,1.03,0.664,8,2.6,28,12,59,15,144,32
0,Continental arc,13.6,502,8489,47,96,0.003,9,0.4,0.98,0.609,9,3.1,42,18,97,25,240,53
0,Continental arc,7.2,243,11202,48,117,0.002,10,0.2,0.51,0.304,4,1.3,18,8,44,12,131,30
0,Continental arc,4.4,364,10828,61,193,0.001,12,0.3,0.99,0.529,8,2.8,32,16,76,20,200,47
0,Continental arc,9.9,212,10680,32,70,0.001,13,0.3,0.66,0.308,5,1.5,20,7,38,9,87,18
0,Continental arc,11.5,144,10315,19,35,0.001,10,0.1,0.25,0.179,3,1,12,5,26,6,61,13
1,Continental hotspot,4.1,1246,11603,92,181,0.925,23,1.53,2.95,0.225,30,11,122,49,206,43,327,58
1,Continental hotspot,8,1543,12439,271,375,0.667,45,1.59,3.93,0.477,37,12,158,62,276,58,464,83
1,Continental hotspot,4.6,1889,9901,156,224,0.617,31,3.99,7.14,0.459,50,18,202,70,305,60,466,78
1,Continental hotspot,7,1643,9080,118,183,0.603,20,3.53,6.74,0.759,58,17,188,70,283,53,418,72
1,Continental hotspot,5,2161,10382,213,315,0.464,33,3.78,7.41,0.47,60,22,241,85,363,72,543,92
1,Continental hotspot,6.3,2418,11478,388,568,0.456,50,2.9,6.8,0.574,61,22,248,102,453,91,707,121
1,Continental hotspot,4.5,824,11588,73,173,0.453,19,1.52,2.6,0.113,20,8,87,33,146,29,235,42
1,Continental hotspot,3.7,1135,11181,92,189,0.434,26,2.66,3.37,0.139,28,10,128,49,209,44,343,57
1,Continental hotspot,5.9,2814,11143,367,445,0.359,51,5.52,9.99,1.15,81,25,290,108,473,92,723,120
1,Continental hotspot,6.6,2298,11039,244,414,0.329,31,4.01,9.02,0.363,67,22,257,97,420,82,592,100
1,Continental hotspot,5.1,1667,10831,169,302,0.237,33,3.39,5.65,0.242,44,17,195,72,298,58,446,73
1,Continental hotspot,4.1,1926,10218,162,267,0.236,26,6.64,10.76,0.604,69,23,242,81,342,71,523,89
1,Continental hotspot,4.8,1585,10464,158,256,0.234,29,3.93,7.06,0.332,48,17,195,76,315,60,468,79
1,Continental hotspot,4.1,1680,11048,134,241,0.221,27,2.88,4.59,0.226,42,15,164,67,288,51,425,71
1,Continental hotspot,5.9,1899,11012,276,434,0.22,44,3.2,5.7,0.35,50,16,185,80,303,59,459,80
1,Continental hotspot,6.3,2527,10865,193,352,0.194,33,3.73,10.64,0.442,71,22,246,105,349,70,497,84
1,Continental hotspot,6.4,2903,11733,326,534,0.187,38,3.99,10.62,0.354,66,29,323,122,547,105,821,129
1,Continental hotspot,3.8,1667,9410,163,263,0.183,22,2.27,5.96,0.408,49,18,200,70,299,60,457,77
1,Continental hotspot,3.8,1667,9410,163,263,0.183,22,2.27,5.96,0.408,49,18,200,70,299,60,457,77
1,Continental hotspot,6.1,2374,10546,538,715,0.164,52,2.55,6.59,0.334,62,21,266,99,411,82,644,107
1,Continental hotspot,6.4,1030,11402,147,246,0.16,34,0.78,2.01,0.323,21,8,100,40,180,40,325,57
1,Continental hotspot,5.9,1643,9749,129,192,0.158,34,1.84,5.22,0.379,44,16,177,66,282,56,430,73
1,Continental hotspot,6.2,2057,10585,370,472,0.147,55,3.21,5.84,0.743,42,19,215,86,379,78,613,103
1,Continental hotspot,6.3,2771,11150,418,581,0.142,47,2.98,7.69,0.669,68,24,285,115,492,102,770,130
1,Continental hotspot,5,1422,11717,212,384,0.14,32,1.45,3.92,0.205,35,13,155,62,261,53,421,72
1,Continental hotspot,5.3,2518,11248,321,503,0.137,39,2.75,7.25,0.495,62,22,263,102,458,93,700,117
1,Continental hotspot,6.7,2207,11433,193,332,0.136,26,2.47,6.78,0.36,53,21,227,91,378,72,540,89
1,Continental hotspot,6.4,460,11475,34,101,0.134,14,0.72,0.92,0.061,8,4,42,18,81,20,151,28
1,Continental hotspot,5.9,3300,10328,624,836,0.126,64,4.78,10.46,0.432,84,31,353,134,562,109,834,137
1,Continental hotspot,9.6,2291,14356,463,602,0.11,69,2.22,5.67,0.527,49,18,222,92,370,82,664,117
1,Continental hotspot,11.6,3730,11281,475,715,0.107,41,5.92,12.23,0.54,101,34,397,160,616,119,894,151
