label,Category,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0,Continental arc,4.37,898.25,12596.71,51.83,427.48,0.17,8.67,0.66,1.26,0.61,17.12,6.59,78.7,32.14,157.64,35.38,324.8,65.22
0,Continental arc,7.3,862.67,13063.2,73.96,445.76,0.17,13.54,0.42,1.44,0.69,16.21,6.36,79.21,31.55,159.81,37.2,334.88,69.05
0,Continental arc,15.54,958.43,8910,38.29,65.76,0.17,13.62,1.95,3.73,1.6,30.37,9.35,79.67,36.75,151.38,30.96,253.43,44.79
0,Continental arc,16.29,1238.81,7694.13,487.52,539.16,0.17,22.17,2.93,5.18,5.02,38.79,11.89,125.77,47.05,219.03,49.63,462.36,89.64
0,Continental arc,5.08,851.28,11373.79,44.44,341.24,0.16,9.42,0.61,1.53,0.7,16.21,5.99,71.07,30.57,147.95,35.07,314.68,63.85
0,Continental arc,21.98,703.17,13217.58,37.23,341.85,0.16,7.92,0.47,0.97,0.49,11.98,4.87,56.34,24.47,126.66,30.27,292.59,61.69
0,Continental arc,9.5,3087,7807,327,395,0.159,24,5.9,13,4.062,87,29.1,306,122,547,119,1019,192
0,Continental arc,4.5,608.56,11707,120,266,0.153,20.09,0.35,0.72,0.26,9.39,3.67,47.4,22.88,121.52,31.17,291.87,61.85
0,Continental arc,14.46,4233.87,8920.29,364.25,538.82,0.15,71.2,15.81,31.81,15.17,193.94,54.54,382.03,164.14,595.38,111.44,846.35,148.55
0,Continental arc,6.47,3366.12,11218,3823,2025,0.15,258.59,3.45,9.5,2.22,79.42,29.43,288.92,129.96,559.33,119.03,973.49,170.59
0,Continental arc,3.68,2004.02,10709,676,714,0.145,58.74,2.49,5.48,2.03,47.32,17.83,213.13,84.24,419.5,94.75,827.91,158.33
0,Continental arc,7,185,10988,38,109,0.143,8,0.2,0.42,0.224,3,1.3,15,7,34,8,82,18
0,Continental arc,13.69,2378.55,9017.79,308.75,535.34,0.14,42.68,8.31,14.83,9.99,95.4,27.9,270.06,92.44,387.22,79.53,668.77,122.69
0,Continental arc,18.94,1845.2,7599.8,86.55,139.42,0.14,15.31,3.79,8.36,4.41,58.82,18.68,210.44,74.31,313.26,66.3,529.51,102.22
0,Continental arc,6.83,1582.67,8041,289,323,0.135,34.51,3.33,6.59,3.34,38.57,12.73,145.95,54.85,250.25,58.5,541.52,111.52
0,Continental arc,4.44,990.16,13153.09,91.76,436.6,0.13,14.51,0.51,1.56,0.8,21.11,8.15,90.03,41.4,197.16,45.2,398.96,79.4
0,Continental arc,10,11600.16,7559,6858,3668,0.126,471.67,9.12,22.97,9.69,201.64,82.31,1139.66,428.15,1985.9,446.86,3810.56,668.03
0,Continental arc,16.8,1074,11393,131,261,0.122,7,1,2.57,0.124,26,9,106,42,179,38,309,55
0,Continental arc,6.05,3049.61,8342,505,691,0.115,50.92,3.65,7.61,3.68,62.88,22.2,256.81,112.39,541.23,125.69,1139.3,221.65
0,Continental arc,4.84,841.43,11075.64,42.32,305,0.11,8.26,0.45,1.28,0.7,14.08,5.32,58.88,25.8,127.79,30.34,283.06,57.89
0,Continental arc,7.49,937.23,11777.9,79.88,469.56,0.11,15.18,0.55,1.56,0.88,16.38,6.05,77.07,32.56,165.33,38.12,342.99,69.39
0,Continental arc,7.56,1173.22,10926.74,97.61,307.18,0.11,17.4,0.62,2,0.89,21.97,8.75,103.23,44.45,201.13,44.42,382.08,75.65
0,Continental arc,8.41,1579.54,10793.99,251.39,339.2,0.11,19.79,2.72,6.26,3.78,47.8,15.12,135.57,59.7,246.79,54.15,453.73,86.84
0,Continental arc,16.98,2134.55,8520.69,120.07,158.53,0.11,22.14,3.37,6.99,3.52,63.6,21.71,231.41,88.09,364.23,72.52,563.18,100.12
0,Continental arc,30.1,1713.62,9822.97,128.1,224.53,0.11,12.55,3.52,6.29,1.14,43.79,15.08,164.87,67.15,286.97,56.58,421.66,73.47
0,Continental arc,14.4,2026,8057,365,343,0.108,58,6.6,10.86,6.223,65,19,198,75,344,75,689,138
0,Continental arc,4.3,744,13596,326,749,0.107,40,0.3,0.92,0.688,11,4.1,53,23,136,35,394,93
0,Continental arc,13.9,2716,8006,472,389,0.105,25,3,6.74,3.381,57,19.3,224,95,443,102,940,189
0,Continental arc,6.73,1513.37,14014.21,160.21,1390.78,0.1,15.17,0.59,2.09,1,31.21,12.84,158.68,58.97,279.83,60.42,489.28,88.23
0,Continental arc,10.76,1845.47,9091.76,146.25,249.32,0.1,18.92,3.42,7.87,3.41,61.73,19.39,187.7,75.63,322.49,66.7,535.85,97.35
0,Continental arc,18.22,2564.99,7190.79,148.53,185.42,0.1,23.54,5.21,10.56,6.32,79.2,25.62,249.62,101.64,410.19,85.77,709.02,130.68
0,Continental arc,42.22,2086.94,8284.65,146.6,144.96,0.1,27.78,5.16,9.2,3.26,71.96,23.39,202.84,85.28,325.17,63.12,474.93,85.84
0,Continental arc,5.92,2413.01,9887,487,478,0.097,57.84,4.83,8.2,4.88,63.92,20.99,235.25,92.54,441.49,98.97,890.14,174.16
0,Continental arc,6.9,1086,10484,333,444,0.091,53,1.3,3.45,1.771,25,9.3,103,42,205,47,430,86
0,Continental arc,15.4,392,10435,50,65,0.091,21,0.5,1.19,0.51,11,3.1,36,15,71,16,148,29
0,Continental arc,8.86,1254.67,11005.09,110.84,377.55,0.09,21.22,2.83,5.05,3.17,34.89,10.76,86.51,44.52,196.22,43.59,377.93,77.57
0,Continental arc,10.41,834.07,12930.39,113.6,287.22,0.09,10.69,0.57,1.79,0.22,17.22,6.66,80.23,32.18,138.68,28.54,224.77,38.67
0,Continental arc,18.86,3733.31,8521.68,240.47,247.99,0.09,62.51,6.71,18.08,8.43,147.95,44.98,438.86,156.5,630.7,122.69,915.32,155.38
0,Continental arc,18.92,2885.67,8071.8,195,252.12,0.09,30.46,5.17,11.9,7.03,98.46,32.2,345.56,115.35,522.94,110.72,903.43,162.33
0,Continental arc,19.64,979.68,7645.84,80.83,133.48,0.09,10.38,2.53,4.22,2.83,31.68,9.75,101.1,37.54,166.04,34.91,308.26,60.03
0,Continental arc,25.08,4865.99,8508.66,829.91,720.52,0.09,186.26,11.32,23.29,13.72,166.34,47.75,482.37,180.51,732.85,146.08,1187.94,209.95
0,Continental arc,3.85,1555.92,10921,316,431,0.09,45.28,1.64,3.97,1.34,33.07,11.87,148.25,58.15,276.35,66.12,571.52,112.38
0,Continental arc,4.92,1769.04,11323,335,430,0.087,45.09,1.82,4.16,1.17,29.6,9.88,129.82,50.81,244.08,54.04,528.93,104.56
0,Continental arc,10.3,265,10948,40,78,0.085,10,0.2,0.59,0.32,5,1.7,23,9,48,12,118,26
0,Continental arc,3.49,679.13,13344.53,114.82,431.75,0.08,13.72,0.41,1.28,0.66,14.05,5.36,63.99,25.53,119.99,27.33,247.85,50.1
0,Continental arc,4.55,710.77,11702.1,57.76,256.8,0.08,8.83,0.35,1.26,0.66,13.47,5.18,63.13,25.55,125.02,28.96,259.82,51.43
0,Continental arc,5.53,1619.89,9417.33,133.24,197.94,0.08,13.09,3.06,5.55,1,44.39,14.79,164.11,62.53,266.75,50.63,392.53,68.85
0,Continental arc,8.82,917.07,10753.2,55.74,208.84,0.08,13.88,0.6,1.73,0.89,16.85,6.92,83.14,34.29,162.04,35.65,329.3,65.88
0,Continental arc,15.29,764.02,7936.23,262.32,242.8,0.08,21.57,2.89,4.85,3.82,33.93,9.65,86.06,29.45,124.54,24.09,200.01,38.37
0,Continental arc,16.16,2615.03,9337.97,290.92,543.29,0.08,44.47,2.56,6.2,3.91,64.26,21.56,233.49,90.99,392.64,81.81,705.1,137.33
0,Continental arc,17.45,1812.04,9626.79,228.5,390.42,0.08,31.75,1.2,3.76,1.99,44.6,15.72,174.31,68.78,317.58,65.28,547.58,103.1
0,Continental arc,19.32,2527.43,8683.47,143.14,175.83,0.08,27.44,3.71,8.53,4.6,86.92,28.24,295.27,103.52,441.74,83.43,666.24,115.33
0,Continental arc,22.53,1980.87,7480.37,114.18,174.75,0.08,16.7,3.14,8.01,4.76,62.26,20.61,225.29,79.1,367.31,77.06,653.41,116.98
0,Continental arc,3.3,564,11411,120,359,0.074,18,0.3,0.82,0.503,7,2.9,37,18,108,29,298,70
0,Continental arc,2.96,654.78,10635,103,256,0.073,19.55,0.23,0.73,0.29,9.94,3.84,52.05,24.44,124.93,31.69,297.73,61.24
0,Continental arc,4.02,533.5,11941.89,37.86,164.42,0.07,8.05,0.44,0.93,0.66,10.13,4.3,49.69,20.51,104.9,24.24,241.73,48.1
0,Continental arc,6.4,597.1,11971.33,51.68,332.45,0.07,9.02,0.34,0.96,0.5,11.08,4.4,51.66,22.23,115.08,26.77,250.45,51.58
0,Continental arc,7.07,941.62,11602.2,106.16,295.83,0.07,18.58,0.59,2.22,0.95,23.9,8.67,94.02,36.31,155.86,31.17,262.49,48.36
0,Continental arc,7.28,1365.59,11389.06,61.82,517.89,0.07,16.77,0.49,1.75,0.91,22.91,9.07,100.3,47.27,223.9,52.7,465.34,91.88
0,Continental arc,8,1228.45,10887.84,69.65,240.97,0.07,14.36,0.53,2.12,0.65,24.73,9.81,110.12,47.68,205.41,46.08,377.58,70.27
0,Continental arc,8.67,847.43,8536.09,62.3,160.71,0.07,10.53,2.47,4.31,2.68,25.78,8.34,80.71,31.13,131.94,28.26,255.18,48.87
0,Continental arc,11.83,2706.84,9342.78,544.65,747.83,0.07,94.04,3.93,9.7,5.91,81.07,26.05,278.34,105.04,458.6,93.12,788.64,141.03
0,Continental arc,12.07,1166.87,8120.11,100.81,178.34,0.07,11.18,3.14,5,3.41,35.16,11.42,122.99,45.4,200.84,47.2,400.74,81.17
0,Continental arc,12.91,2295.84,8755.68,162.82,240.16,0.07,32.97,4.73,10.42,4.53,74.31,23.24,236.46,88.62,364.77,77.25,636.59,115.8
0,Continental arc,13.86,1277.94,9503.53,59.3,89.43,0.07,15.93,2.52,5.43,2.34,40.63,12.87,135.3,51.4,211.49,41.41,328.8,59.54
0,Continental arc,15.2,1771.7,9137.29,92.81,132.86,0.07,19.48,2.87,6.26,2.82,53.59,18.75,191.39,72.16,308.33,61.15,475.52,86.71
0,Continental arc,15.83,2239.36,8084.65,127.3,181.82,0.07,24.18,4.26,9.79,4.84,69.81,21.42,236.91,88.47,371.12,77.83,641.26,121.18
0,Continental arc,16.37,1431.5,8612.79,67.39,100.32,0.07,16.64,2.83,5.76,2.75,51.43,15.55,160.44,59.68,247.54,49.01,376.04,68.33
0,Continental arc,16.39,2915.83,8220.19,215.65,230.51,0.07,43.77,5.38,12.51,6.07,107.97,33.23,323.89,118.26,466.58,90.74,711.24,124.18
0,Continental arc,17.44,2811.33,7498.55,178.59,232.11,0.07,33.2,5.53,11.69,6.31,88.79,28.65,281.76,110.35,454.12,98.2,806.24,148.71
0,Continental arc,20.74,3148.1,7513.91,223.22,261.19,0.07,34.52,6.33,14.53,8.4,112.19,34.64,372.47,127.66,544.73,115.37,935.52,166.87
0,Continental arc,6.46,2008.96,8779,355,464,0.069,41.54,2.64,5.9,1.88,47.08,16.43,161.48,80.7,382.32,88.18,802.06,159.62
0,Continental arc,6.2,876.24,9203,157,198,0.061,19.53,2.89,3.83,2.17,23.68,7.06,80.11,31.83,150.9,34.52,324.52,67.48
0,Continental arc,4.86,559.7,12653.87,112.49,426.09,0.06,16.35,0.54,1.42,0.67,13.11,4.48,49.4,19.41,94.36,21.89,202.54,40.79
0,Continental arc,7.68,355.13,10627.27,26.77,77.49,0.06,7.63,0.36,0.98,0.45,6.3,2.47,28.84,12.13,61.98,16.14,151.93,33.19
0,Continental arc,8.23,1064.88,10565.91,79.11,335.43,0.06,16.15,0.68,1.79,1.14,20.75,8.07,93.29,38.86,186.61,42.58,380.98,76.66
0,Continental arc,12.41,671.62,7498.65,77.33,137.91,0.06,6.88,2.18,3.33,2.34,24.36,7.67,62.9,27.6,120.68,26.02,229.73,45.68
0,Continental arc,12.59,426.68,10191.23,11.97,39.61,0.06,4.9,0.18,0.74,0.23,6.88,2.98,38.72,16.81,81.43,17.92,158.11,28.78
0,Continental arc,13.35,561.14,8783.37,27.22,47.84,0.06,10.2,0.65,1.72,0.8,16.78,5.58,59.9,23.24,107.57,21.69,181.65,33.23
0,Continental arc,15.19,1796.87,8323.07,105.6,161.31,0.06,20.71,3.49,7.35,4.18,56.74,17.99,188.01,74.25,310.15,67.54,547.7,103.98
0,Continental arc,17.47,1780.77,8584.44,92.36,109.44,0.06,23.4,3.59,7.71,3.69,66.46,19.43,175.34,72.19,286.94,54.94,432.56,77.33
0,Continental arc,17.55,2020.19,8173.87,106.84,132.72,0.06,23.36,3.59,7.91,3.77,66.59,21.87,138.05,79.87,315.34,63.56,481.05,85.84
